rule_id,version,phase,required_inputs,scope,exact_condition,coefficient,lower_bound,upper_bound,priority,conflicts_with,missing_data_action,abstain_condition,introduced_at,status
R011,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R012,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R013,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R014,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R015,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R016,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R017,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R018,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R019,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R020,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R021,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R022,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R023,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R024,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R025,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R026,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R027,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R028,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R029,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R030,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R031,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R032,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R033,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R034,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R035,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R036,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R037,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R038,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R039,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R040,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R041,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R042,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R043,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R044,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R045,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R046,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R047,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R048,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R049,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R050,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R051,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R052,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R053,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R054,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R055,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R056,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R057,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R058,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R059,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R060,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R061,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R062,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R063,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R064,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R065,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R066,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R067,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R068,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R069,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R070,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R071,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R072,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R073,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R074,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R075,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R076,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R077,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R078,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R079,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R080,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R081,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DEFUNCT_MERGED
R082,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R083,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R084,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R085,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R086,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R087,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R088,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R089,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R090,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R091,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R092,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R093,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R094,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R095,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R096,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R097,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R098,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R099,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R100,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R101,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,ACTIVE
R102,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R103,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R104,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R105,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R106,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
R107,V9.6.1,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,PLACEHOLDER
