kx,black,weak,hot4,early,date,no,yc,lgc,act_balls,dir_hit,ht_hit,ou_hit,lam,dir_txt,act_main,act_away,side,ht_side,rain,rank_gap,inj,off_a,def_a,off_b,def_b,h2h_score
0,0,0,0,0,2026-08-05,005,1,lg-ucl,3.0,0,0,,,负（A级）,2.0,1.0,1.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-01,001,1,lg-nor,3.0,0,0,,,胜（B级）,0.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-01,002,1,lg-nor,4.0,1,1,,,胜（A级）,4.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-01,003,1,lg-mls,2.0,0,1,,,胜（A级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-01,004,1,lg-k1,3.0,0,0,,,胜（A级）,0.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-01,005,1,lg-k1,0.0,1,1,,,平/让平（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-01,006,1,lg-k1,1.0,1,1,,,平/负（B级）,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-01,007,1,lg-fin,3.0,1,1,,,胜（A级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-01,008,1,lg-swe,2.0,0,1,,,胜（A级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-01,009,1,lg-nor,1.0,1,1,,,胜/平（B级）,1.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-01,010,1,lg-fin,2.0,1,1,,,胜（A级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-02,001,1,lg-k1,4.0,1,1,,,胜（A级）,3.0,1.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,002,1,lg-k1,6.0,0,1,,,胜（B级）,3.0,3.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,003,1,lg-k1,2.0,1,1,,,胜（B级）,2.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,004,1,lg-swe,3.0,1,1,,,负（A级）,1.0,2.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,005,1,lg-swe,2.0,1,1,,,胜（A级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-02,006,1,lg-fin,1.0,1,1,,,负/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-02,007,1,lg-fin,1.0,1,1,,,平/胜（B级）,1.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,008,1,lg-swe,3.0,0,0,,,胜（B级）,0.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-02,009,1,lg-nor,3.0,1,1,,,胜/平（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-02,010,1,lg-nor,6.0,1,1,,,平/负（B级）,3.0,3.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,011,1,lg-nor,8.0,0,1,,,平/负（B级）,2.0,6.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,015,1,lg-nor,3.0,1,1,,,负（A级）,0.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-02,016,1,lg-fin,1.0,1,1,,,负/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-02,017,1,lg-mls,4.0,1,0,,,胜/平（B级）,2.0,2.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-02,018,1,lg-mls,2.0,1,0,,,胜/平（B级）,1.0,1.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-02,019,1,lg-bras,0.0,0,1,,,胜（A级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,020,1,lg-mls,3.0,1,1,,,胜（B级）,2.0,1.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,021,1,lg-mls,2.0,0,1,,,胜（A级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,022,1,lg-mls,0.0,1,1,,,平/负（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-02,023,1,lg-mls,3.0,1,1,,,胜（A级）,2.0,1.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-03,012,1,lg-nor,5.0,0,0,,,负/平（B级）,3.0,2.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-03,013,1,lg-bras,2.0,0,1,,,胜（A级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-03,014,1,lg-bras,2.0,1,1,,,平/胜（B级）,2.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-04,001,1,lg-fin,3.0,0,1,,,负（A级）,3.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-04,002,1,lg-swe,2.0,1,1,,,负（A级）,0.0,2.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-04,003,1,lg-swe,6.0,1,1,,,胜/平（B级）,6.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-04,004,1,lg-bras,2.0,1,1,,,胜（A级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-07,001,1,lg-j1,7.0,1,0,,,负（A级）,3.0,4.0,2.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-07,002,1,lg-j1,7.0,0,0,,,负（B级）,4.0,3.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-07,003,1,lg-fin,4.0,1,0,,,胜/平（B级）,2.0,2.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-07,004,1,lg-nor,1.0,0,0,,,胜（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-07,005,1,lg-ered,4.0,1,1,,,负（A级）,0.0,4.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-07,006,1,lg-eers,3.0,1,0,,,负（B级）,1.0,2.0,2.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-07,007,1,lg-eers,1.0,0,0,,,负/平（B级）,1.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-07,008,1,lg-bundes2,1.0,0,0,,,胜/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-07,009,1,lg-champ,1.0,1,1,,,胜（A级）,1.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-07,010,1,lg-prime,2.0,0,0,,,负（A级）,1.0,1.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-07,011,1,lg-bras,4.0,0,0,,,负/平（B级）,4.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-07,012,1,lg-uel,3.0,1,1,,,胜/平（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-07,013,1,lg-uel,1.0,0,0,,,胜/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-07,014,1,lg-uel,7.0,1,1,,,胜（A级）,6.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-08,001,1,lg-j1,3.0,1,1,,,胜（A级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-08,002,1,lg-j2,1.0,1,1,,,平/胜（B级）,1.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-08,003,1,lg-k1,3.0,0,0,,,胜/平（B级）,1.0,2.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,004,1,lg-k1,4.0,0,0,,,胜（A级）,1.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,005,1,lg-k1,0.0,1,1,,,负/平（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,006,1,lg-nor,3.0,1,1,,,负（A级）,1.0,2.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,007,1,lg-champ,2.0,1,1,,,负/平（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,008,1,lg-swe,7.0,0,0,,,胜/平（B级）,3.0,4.0,2.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-08,009,1,lg-champ,4.0,1,1,,,胜（A级）,3.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-08,010,1,lg-champ,1.0,1,1,,,负/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,011,1,lg-nor,3.0,1,1,,,胜（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-08,012,1,lg-ered,3.0,0,0,,,胜（B级）,1.0,2.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,013,1,lg-prime,1.0,1,1,,,胜,1.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,014,1,lg-swe,1.0,1,1,,,负/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,015,1,lg-fin,4.0,1,1,,,负/平（B级）,1.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,016,1,lg-ered,5.0,1,0,,,胜（B级）,4.0,1.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,017,1,lg-prime,1.0,0,0,,,胜,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,018,1,lg-ered,4.0,0,0,,,胜（A级）,2.0,2.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,019,1,lg-l2,1.0,1,1,,,负/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,020,1,lg-l2,2.0,0,1,,,胜（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,021,1,lg-l2,1.0,0,1,,,胜（B级）,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,022,1,lg-ered,2.0,1,1,,,胜（B级）,2.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,023,1,lg-bras,3.0,1,0,,,胜/平（B级）,2.0,1.0,1.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-08,024,1,lg-prime,4.0,0,1,,,负（A级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-08,025,1,lg-bras,2.0,1,1,,,平/胜（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-06,001,1,lg-bras,4.0,0,0,,,胜/平（B级）,1.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-06,002,1,lg-ucl,3.0,0,0,,,平/负（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-06,003,1,lg-ucl,2.0,1,1,,,胜（A级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-06,004,1,lg-uel,2.0,1,0,,,平/负（B级）,1.0,1.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-09,001,1,lg-j1,2.0,1,1,,,平/胜（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-09,002,1,lg-j1,3.0,0,0,,,平/负（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-09,003,1,lg-j2,2.0,0,0,,,负/平（B级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-09,004,1,lg-ered,1.0,1,1,,,平/负（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-09,005,1,lg-bundes2,2.0,1,1,,,胜/平（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-09,006,1,lg-bundes2,3.0,1,1,,,胜（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-09,007,1,lg-swe,3.0,1,1,,,胜（A级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-09,008,1,lg-fin,2.0,1,0,,,平/负（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-09,011,1,lg-nor,,0,0,,,胜/平（B级）,,,,,,,,,,,,
0,0,0,0,0,2026-08-09,012,1,lg-fin,0.0,1,1,,,平/负（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-09,013,1,lg-swe,2.0,0,0,,,平/胜（B级）,0.0,2.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-09,014,1,lg-swe,5.0,1,1,,,胜（B级）,3.0,2.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-09,016,1,lg-nor,2.0,1,0,,,平/负（B级）,1.0,1.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-10,017,1,lg-fin,1.0,1,1,,,负（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-10,018,1,lg-prime,2.0,1,1,,,胜（A级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-10,019,1,lg-nor,3.0,0,0,,,平/负（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-10,020,1,lg-prime,,0,0,,,胜（A级）,,,,,,,,,,,,
0,0,0,0,0,2026-08-10,021,1,lg-prime,1.0,1,1,,,平/胜（B级）,1.0,0.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-10,022,1,lg-prime,4.0,1,1,,,负/平（B级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-10,023,1,lg-bras,,1,1,,,负/平（B级）,,,,,,,,,,,,
0,0,0,0,0,2026-08-10,024,1,lg-bras,,1,1,,,胜（A级）,,,,,,,,,,,,
0,0,0,0,0,2026-08-11,001,1,lg-swe,1.0,0,0,,,负（A级）,1.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-11,002,1,lg-swe,4.0,0,1,,,胜（A级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-11,003,1,lg-prime,4.0,1,1,,,平/胜（B级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-11,004,1,lg-k1,0.0,1,1,,,胜/平（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-11,005,1,lg-ucl,1.0,1,1,,,平/负（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,1,1,0,2026-08-14,001,1,lg-j1,4.0,1,0,,,负/平（B级）,1.0,3.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-14,002,1,lg-fin,4.0,0,0,,,胜（A级）,1.0,3.0,2.0,2.0,,,,,,,,
0,0,0,1,0,2026-08-14,003,1,lg-bundes2,4.0,1,0,,,平/胜（B级）,2.0,2.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-14,004,1,lg-bundes2,1.0,0,0,,,胜/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-14,005,1,lg-spl,3.0,1,1,,,胜（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,006,1,lg-swe,3.0,1,1,,,胜（A级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,007,1,lg-nor,3.0,1,1,,,胜/平（B级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,1,0,2026-08-14,008,1,lg-spl,6.0,1,1,,,胜/平（B级）,4.0,2.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-14,009,1,lg-spl,6.0,1,1,,,胜（A级）,4.0,2.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,010,1,lg-ered,4.0,0,0,,,胜/平（B级）,1.0,3.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-14,011,1,lg-eers,4.0,1,0,,,胜/平（B级）,2.0,2.0,0.0,2.0,,,,,,,,
0,0,0,1,0,2026-08-14,012,1,lg-eers,5.0,1,1,,,胜（A级）,3.0,2.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,013,1,lg-l2,2.0,0,0,,,平/负（B级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,014,1,lg-l2,6.0,1,1,,,平/负（B级）,3.0,3.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-14,015,1,lg-l2,4.0,1,1,,,胜（A级）,3.0,1.0,1.0,1.0,,,,,,,,
0,0,0,1,0,2026-08-14,016,1,lg-champ,4.0,0,1,,,胜（A级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-14,017,1,lg-prime,5.0,1,1,,,胜（A级）,3.0,2.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,018,1,lg-uel,2.0,1,0,,,胜/平（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-14,019,1,lg-uel,5.0,1,1,,,胜/平（B级）,3.0,2.0,1.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-14,020,1,lg-uel,2.0,1,1,,,平/负（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-14,021,1,lg-bras,2.0,0,1,,,胜（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-15,001,1,lg-j1,3.0,1,1,,,胜（A级）,2.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-15,003,1,lg-j1,5.0,1,1,,,负/平（B级）,1.0,4.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-15,004,1,lg-j1,4.0,1,1,,,胜/平（B级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,1,0,2026-08-15,005,1,lg-k1,6.0,1,0,,,胜/平（B级）,4.0,2.0,1.0,2.0,,,,,,,,
0,0,1,0,0,2026-08-15,006,1,lg-k1,3.0,1,1,,,平/负（B级）,1.0,2.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-15,008,1,lg-champ,3.0,1,0,,,胜/平（B级）,2.0,1.0,1.0,1.0,,,,,,,,
1,0,0,0,0,2026-08-15,009,1,lg-swe,7.0,0,0,,,平/负（B级）,4.0,3.0,1.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-15,010,1,lg-champ,3.0,0,0,,,胜/平（B级）,1.0,2.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-15,011,1,lg-nor,2.0,1,1,,,负/平（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-15,014,1,lg-fin,2.0,0,0,,,负（C级）,2.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-15,016,1,lg-champ,0.0,0,0,,,胜（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-15,019,1,lg-laliga,3.0,0,0,,,平/负（B级）,3.0,0.0,1.0,0.0,,,,,,,,
1,0,0,0,0,2026-08-15,024,1,lg-laliga,3.0,0,0,,,平/负（B级）,2.0,1.0,1.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-15,026,1,lg-bras,5.0,0,0,,,平/负（B级）,3.0,2.0,1.0,0.0,,,,,,,,
1,0,0,0,0,2026-08-16,003,1,lg-k1,5.0,0,0,,,平/负（B级）,3.0,2.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,004,1,lg-k1,2.0,1,1,,,平/负（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-16,005,1,lg-swe,4.0,1,1,,,胜/平（B级）,3.0,1.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,006,1,lg-swe,3.0,0,0,,,负（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,007,1,lg-swe,4.0,0,0,,,胜（B级）,1.0,3.0,2.0,2.0,,,,,,,,
1,0,0,0,0,2026-08-16,010,1,lg-nor,10.0,1,0,,,平/负（B级）,5.0,5.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,011,1,lg-eng,3.0,0,0,,,平/负（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,012,1,lg-fin,5.0,1,0,,,客胜/平（B级）,2.0,3.0,2.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,014,1,lg-swe,4.0,0,0,,,胜/平（B级）,0.0,4.0,2.0,2.0,,,,,,,,
1,0,0,0,0,2026-08-16,015,1,lg-swe,1.0,0,1,,,胜/平（B级）,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-16,017,1,lg-champ,4.0,1,0,,,主胜/平（B级）,2.0,2.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-16,018,1,lg-laliga,4.0,0,0,,,客胜/主胜（B级）,2.0,2.0,0.0,0.0,,,,,,,,
1,0,0,0,0,2026-08-16,019,1,lg-nor,5.0,0,0,,,负（B级）,3.0,2.0,1.0,1.0,,,,,,,,
1,0,0,0,0,2026-08-16,020,1,lg-nor,3.0,1,1,,,胜（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,021,1,lg-nor,3.0,0,1,,,胜/平（B级）,1.0,2.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-16,022,1,lg-laliga,3.0,1,1,,,主胜/客胜（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,024,1,lg-nor,1.0,1,1,,,胜/平（B级·调整版）,1.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-16,025,1,lg-bras,3.0,1,0,,,客胜/平（B级）,0.0,3.0,2.0,0.0,,,,,,,,
1,0,0,1,1,2026-08-17,001,1,lg-fin,5.0,1,0,,,主胜/平（B级）,3.0,2.0,1.0,0.0,,,,,,,,
0,0,0,1,0,2026-08-17,002,1,lg-swe,1.0,1,1,,,主胜/平（B级）,1.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-17,003,1,lg-champ,2.0,1,0,,,主胜/平（B级）,1.0,1.0,0.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-17,004,1,lg-laliga,2.0,1,0,,,主胜/平（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-17,006,1,lg-bras,2.0,1,0,,,主胜/平（B级）,1.0,1.0,0.0,1.0,,,,,,,,
0,0,0,1,1,2026-08-17,005,1,lg-prime,7.0,1,1,,,平/客胜（B级）（冷门第1联动·本菲卡不可能输）,0.0,7.0,2.0,2.0,,,,,,,,
0,1,0,0,0,2026-08-18,001,1,lg-bras,2.0,1,1,,,平/主胜（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-18,002,1,lg-ucl,0.0,1,1,,,平/胜（B级）,0.0,0.0,0.0,0.0,,,,,,,,
0,0,0,1,0,2026-08-18,003,1,lg-ucl,4.0,1,1,,,胜/平（B级）,2.0,2.0,0.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-18,004,1,lg-ucl,2.0,1,0,,,平/胜（B级）,1.0,1.0,0.0,2.0,,,,,,,,
1,0,0,0,0,2026-08-19,001,1,lg-k1,3.0,0,0,,,平/负（B级）,2.0,1.0,1.0,2.0,8.0,,,,,,,
0,0,0,1,0,2026-08-19,002,1,lg-laliga,2.0,1,1,,2.5,主胜（A级）,2.0,0.0,1.0,0.0,,0.0,,,,,,
1,1,1,1,0,2026-08-19,003,1,lg-bras,1.0,0,0,,2.1,平/胜（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-19,006,1,lg-ucl,3.0,1,1,,3.0,胜/平（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,0,0,1,0,2026-08-19,007,1,lg-ucl,4.0,1,1,,2.9,负/平（B级）,1.0,3.0,2.0,2.0,,,,,,,,
0,0,0,1,0,2026-08-19,008,1,lg-ucl,2.0,1,1,,3.1,胜/平（A级）,1.0,1.0,0.0,0.0,,,,,,,,
1,1,0,1,0,2026-08-20,001,1,lg-spl,3.0,1,1,,2.4000000000000004,负/平（B级）,0.0,3.0,2.0,2.0,,,,,,,,
1,1,0,0,0,2026-08-20,002,1,lg-laliga,2.0,1,1,,2.3,主胜/平（B级）,1.0,1.0,0.0,0.0,,,,,,,,
0,0,1,0,0,2026-08-20,003,1,lg-bras,1.0,1,1,,1.9000000000000001,主胜/平（B级）,1.0,0.0,1.0,0.0,,,,,,,,
0,0,1,1,0,2026-08-20,004,1,lg-uel,3.0,0,0,,2.2,胜/平（A级）,0.0,3.0,2.0,2.0,,,,,,,,
0,1,0,1,0,2026-08-20,005,1,lg-uel,1.0,1,0,,2.7,负/平（B级）,0.0,1.0,2.0,0.0,,,,,,,,
0,0,0,0,0,2026-08-20,006,1,lg-uel,1.0,0,0,,2.6,主胜/平（B级）,0.0,1.0,2.0,2.0,,,,,,,,
0,0,0,0,0,2026-08-20,007,1,lg-uel,7.0,1,1,,2.4000000000000004,胜/平（B级）,7.0,0.0,1.0,1.0,,,,,,,,
0,0,0,0,0,2026-08-20,008,1,lg-uel,3.0,1,1,,2.3,胜/平（B级）,3.0,0.0,1.0,1.0,,,,,,,,
0,1,0,0,0,2026-08-20,009,1,lg-uel,4.0,1,1,,3.0,胜/平（A级）,3.0,1.0,1.0,1.0,,,,,,,,
